firstTime,secondTime,corrAns,plusStart,secondStart,respStart,Block.thisRepN,Block.thisTrialN,Block.thisN,Block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,rtRound1_3.keys,rtRound1_3.corr,rtRound1_3.rt,date,frameRate,expName,session,participant
2.5,1.5,left,3,4,5.5,1,0,1,0,0,5,5,1,,,left,1,0.755194021,2018_Dec_04_1655,None,TimingTask,1,aaylward
0.7,1.4,right,1.2,2.2,3.6,1,0,1,0,0,6,6,0,,,right,1,0.63355775,2018_Dec_04_1655,None,TimingTask,1,aaylward
1.2,1.8,right,1.7,2.7,4.5,1,0,1,0,0,7,7,2,,,right,1,0.550746396,2018_Dec_04_1655,None,TimingTask,1,aaylward
3.5,2.1,left,4,5,7.1,1,0,1,0,0,8,8,16,,,left,1,0.768520512,2018_Dec_04_1655,None,TimingTask,1,aaylward
0.9,1.8,right,1.4,2.4,4.2,1,0,1,0,0,9,9,15,,,right,1,0.613232227,2018_Dec_04_1655,None,TimingTask,1,aaylward
3.2,3.6,right,3.7,4.7,8.3,1,0,1,0,0,10,10,9,,,right,1,1.267023625,2018_Dec_04_1655,None,TimingTask,1,aaylward
1.8,1.2,left,2.3,3.3,4.5,1,0,1,0,0,11,11,12,,,left,1,0.896635282,2018_Dec_04_1655,None,TimingTask,1,aaylward
9.9,8.8,left,10.4,11.4,20.2,1,0,1,0,0,12,12,4,,,right,0,0.988445595,2018_Dec_04_1655,None,TimingTask,1,aaylward
3.6,3.2,left,4.1,5.1,8.3,1,0,1,0,0,13,13,19,,,left,1,0.767351447,2018_Dec_04_1655,None,TimingTask,1,aaylward
2.8,2.1,left,3.3,4.3,6.4,1,0,1,0,0,14,14,8,,,left,1,1.029878295,2018_Dec_04_1655,None,TimingTask,1,aaylward
4.4,3.3,left,4.9,5.9,9.2,1,0,1,0,0,15,15,13,,,left,1,0.700743452,2018_Dec_04_1655,None,TimingTask,1,aaylward
3.3,4.4,right,3.8,4.8,9.2,1,0,1,0,0,16,16,3,,,right,1,1.167242334,2018_Dec_04_1655,None,TimingTask,1,aaylward
2.1,2.8,right,2.6,3.6,6.4,1,0,1,0,0,17,17,18,,,right,1,0.416987117,2018_Dec_04_1655,None,TimingTask,1,aaylward
2.7,1.8,left,3.2,4.2,6,1,0,1,0,0,18,18,7,,,left,1,0.750749297,2018_Dec_04_1655,None,TimingTask,1,aaylward
8.8,9.9,right,9.3,10.3,20.2,1,0,1,0,0,19,19,14,,,right,1,0.346258948,2018_Dec_04_1655,None,TimingTask,1,aaylward
8.8,9.9,right,9.3,10.3,20.2,1,0,1,0,1,0,20,14,,,right,1,0.567306732,2018_Dec_04_1655,None,TimingTask,1,aaylward
3.6,3.2,left,4.1,5.1,8.3,1,0,1,0,1,1,21,19,,,left,1,1.599687851,2018_Dec_04_1655,None,TimingTask,1,aaylward
1.4,0.7,left,1.9,2.9,3.6,1,0,1,0,1,2,22,10,,,right,0,0.00017152,2018_Dec_04_1655,None,TimingTask,1,aaylward
4.4,3.3,left,4.9,5.9,9.2,1,0,1,0,1,3,23,13,,,left,1,0.683281996,2018_Dec_04_1655,None,TimingTask,1,aaylward
1.5,2.5,right,2,3,5.5,1,0,1,0,1,4,24,11,,,left,0,0.733913334,2018_Dec_04_1655,None,TimingTask,1,aaylward
